Реал Мадрид,Испания,A,1
Пари Сен-Жермен,Франция,A,2
Вольфсбург,Германия,B,1
ПСВ,Нидерланды,B,2
Атлетико Мадрид,Испания,C,1
Бенфика,Португалия,C,2
Манчестер Сити,Англия,D,1
Ювентус,Италия,D,2
Барселона,Испания,E,1
Рома,Италия,E,2
Бавария,Германия,F,1
Арсенал,Англия,F,2
Челси,Англия,G,1
Динамо (Киев),Украина,G,2
Зенит,Россия,H,1
Гент,Бельгия,H,2
